products-list__link href,img src,exclusive-new,brand,price,original_price,discount_percent,product_link,image_link,product_name,rating,discounted_price,original_price.1,discount_percent.1,offer_price,customer_review,material_type,delivery_time_estimate,product_category,delivery_speed_category
https://www.ajio.com/nyrika-women-embroidery-straight-kurta-set/p/701328232_olive?,https://assets.ajio.com/medias/sys_master/root/20250423/Pw2c/6808efc055340d4b4ff55ae0/nyrika_pista_women_embroidery_straight_kurta_set.jpg,BESTSELLER,Nyrika,₹648,₹2699,76%,https://www.example.com/product/7,https://www.example.com/images/product_7.jpg,Casual Shirt,2.0,940,5535,29% Off,2516,Very satisfied,Leather,5-7 days,Footwear,Moderate
https://www.ajio.com/puma-dart-one8-idp-lace-up-sneakers/p/469058769_black?,https://assets.ajio.com/medias/sys_master/root/20220401/9AK8/6246f243f997dd03e242f051/puma_black_dart_one8_idp_lace-up_sneakers.jpg,Bestseller,Puma,₹1400,₹3999,65%,https://www.example.com/product/17,https://www.example.com/images/product_17.jpg,Casual Shirt,2.8,3642,3612,19% Off,2055,Excellent product!,Leather,1-2 weeks,Footwear,Fast
https://www.ajio.com/red-tape-men-casual-shoes-with-pu-upper/p/701397158_green?,https://assets.ajio.com/medias/sys_master/root/20250707/7ojO/686b9cb9b13fc54eddfbbfaa/red_tape_green_white_men_casual_shoes_with_pu_upper.jpg,BESTSELLER,RED TAPE,₹1190,₹6999,83%,https://www.example.com/product/35,https://www.example.com/images/product_35.jpg,Casual Shirt,3.2,3381,2528,40% Off,1270,Could be better,Synthetic,2-3 days,Footwear,Fast
https://www.ajio.com/u-s-polo-assn-men-brand-embossed-slim-fit-polo-t-shirt/p/442401081_white?,https://assets.ajio.com/medias/sys_master/root/20240307/dYbl/65e9ef3916fd2c6e6a4481dc/u.s._polo_assn._white_men_brand_embossed_slim_fit_polo_t-shirt.jpg,Bestseller,U.S. Polo Assn.,₹1624,₹2499,35%,https://www.example.com/product/39,https://www.example.com/images/product_39.jpg,Running Shoes,2.5,2428,651,9% Off,1126,Not worth the price,Synthetic,5-7 days,Footwear,Fast
https://www.ajio.com/the-indian-garage-co-men-checked-slim-fit-shirt-with-patch-pocket/p/460698907_beige?,https://assets.ajio.com/medias/sys_master/root/20240309/LCrw/65ec48dd05ac7d77bba408c3/the_indian_garage_co_beige_%26_blue_men_checked_slim_fit_shirt_with_patch_pocket.jpg,Bestseller,The Indian Garage Co,₹402,₹1749,77%,https://www.example.com/product/44,https://www.example.com/images/product_44.jpg,Running Shoes,1.5,2491,5232,63% Off,579,Very satisfied,Leather,4-5 days,Footwear,Slow
https://www.ajio.com/u-s-polo-assn-men-checked-tailored-fit-shirt-with-patch-pocket/p/442400884_white?,https://assets.ajio.com/medias/sys_master/root/20240308/Rjcu/65eb01a016fd2c6e6a469356/u.s._polo_assn._white_men_checked_tailored_fit_shirt_with_patch_pocket.jpg,Bestseller,U.S. Polo Assn.,₹1913,₹2899,34%,https://www.example.com/product/54,https://www.example.com/images/product_54.jpg,Running Shoes,3.9,4201,4037,6% Off,4551,Not worth the price,Synthetic,5-7 days,Footwear,Moderate
https://www.ajio.com/the-indian-garage-co-men-lightly-washed-slim-fit-jeans/p/460619260_grey?,https://assets.ajio.com/medias/sys_master/root/20240903/v8ib/66d71d701d763220fabbd9bf/the_indian_garage_co_grey_men_lightly_washed_slim_fit_jeans.jpg,Bestseller,The Indian Garage Co,₹620,₹1999,69%,https://www.example.com/product/85,https://www.example.com/images/product_85.jpg,Casual Shirt,3.7,3808,839,84% Off,4341,Could be better,Cotton,4-5 days,Footwear,Moderate
https://www.ajio.com/lakme-xtraordin-airy-mattereal-mousse-foundation-matte-finish-has-spf8--05-beige-honey/p/4915605340_beige?,https://assets.ajio.com/medias/sys_master/root/20240709/bTN8/668d22ce1d763220fa3476a7/lakme_beige_honey_xtraordin-airy_mattereal_mousse_foundation_matte_finish_has_spf8_-_05_beige_honey.jpg,BESTSELLER,LAKME,₹330,₹999,67%,https://www.example.com/product/103,https://www.example.com/images/product_103.jpg,Casual Shirt,1.0,1221,3912,45% Off,747,Good value for money,Cotton,4-5 days,Footwear,Slow
https://www.ajio.com/lakme-9-to-5-complexion-care-face-cream--bronze/p/4910462680_multi?,https://assets.ajio.com/medias/sys_master/root/20240710/ud3e/668e6ac76f60443f31d62939/lakme_bronze_9_to_5_complexion_care_face_cream_-_bronze.jpg,BESTSELLER,LAKME,₹211,₹399,47%,https://www.example.com/product/116,https://www.example.com/images/product_116.jpg,Casual Shirt,4.0,3666,6313,83% Off,1059,Good value for money,Synthetic,5-7 days,Footwear,Moderate
https://www.ajio.com/tior-girls-floral-a-line-dress/p/701819644_white?,,Bestseller,Tior,₹460,₹1999,77%,https://www.example.com/product/134,https://www.example.com/images/product_134.jpg,Casual Shirt,1.8,2154,2659,79% Off,3187,Not worth the price,Synthetic,2-3 days,Footwear,Moderate
